Is Spam,"In your own words, what is PrEP?","In your own words, what is PEP?",How would you best describe U=U to someone else? (Even if you are uncertain)
1,,,
1,,,
1,PrEP is a medication that people who are HIV-negative take to prevent getting HIV.,PEP is an emergency medication taken after a possible exposure to HIV to reduce the chance of infect,
1,,,
1,PrEP is a preventive medication for people who are HIV-negative.,PEP (Post-Exposure Prophylaxis) is an emergency HIV prevention treatment taken after a possible expo,
1,,,
1,,,
1,,,
1,,,
1,PrEP is a preventive medication for people who are HIV-negative.,PEP (Post-Exposure Prophylaxis) is an emergency HIV prevention treatment taken after a possible expo,
1,PrEP is a preventive medication for people who are HIV-negative.,PEP (Post-Exposure Prophylaxis) is an emergency HIV prevention treatment taken after a possible expo,
1,,,
1,,,
1,,,
1,PrEP is a preventive medication for people who are HIV-negative. It’s taken before any possible expo,PEP (Post-Exposure Prophylaxis) is an emergency HIV prevention treatment taken after a possible expo,
1,PrEP lowers infection risk before any exposure occurs.,PEP is post-exposure medication against HIV.,
1,,,U=U (Undetectable = Untransmittable) is a scientifically proven fact that people living with HIV on
1,,,
1,,,Undetectable = Untransmittable (U=U) means that people living with HIV on effective treatment who ha
1,,,
1,,,
1,,,U=U means Undetectable equals Untransmittable  when HIV is controlled by medicine so well that test
1,,,
1,,,
1,Prep is a pill that prevents Hiv,I see it as 99 percent effective for preventing Hiv is you take the dose well,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,Is a message for public health
1,Medicine administered before one is infected,,
1,,,
1,,,
1,,,
1,,,I know it's a kind of treatment
1,,,
0,,,
1,,,
1,,,
1,,,People living with HIV can stay healthy and protect others
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,U=U means that when someone living with HIV takes their treatment consistently and their viral load
1,,,Having an undetectable viral load means lower risk of transmitting
1,,,
1,,,
1,,,
1,,,Virus that is not detected and can't be transmitted
1,,,
1,,,"I'd tell someone: If I'm undetectable, it's like the virus is sleeping so deeply it can't wake up"
1,,,U=U means that when a person living with HIV takes their medication consistently and reaches an unde
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,
1,,,I view U=U as a hopeful and truthful message that redefines what living with HIV looks like in moder
1,,,
1,,,
1,,,
1,,,
1,,,"I think U=U means ‘Undetectable = Untransmittable,like when someone’s HIV is controlled so well wi"
1,,,I would describe U=U as an evidence-based health concept about HIV that stands for Undetectable equa
1,,,Undetectable means that a person is untransmittable
1,,,
1,,,
1,,,
1,,,
1,Medics given to prevent infection,Medicine administered to cure infection,
1,,,
1,"It's not an emergency contraceptive, but a daily habit. Like drinking coffee in the morning or walki",A one-month course is essential: PEP isn't something you do once or twice. Your doctor will prescrib,
1,This isn't a supermarket supplement. You need to go to a Dallas clinic (like Prism Health or a publi,"The earlier you take it, the better! Studies show that PEP is most effective when started within 2 h",
1,,,
1,,,
1,,,
1,,,
1,,,"I see U=U as an essential educational message that replaces old fears with clear, honest medical fac"
